1. Opportunity Name,2. Region,3. County,4. Location,5. Type,6. Ensemble (if app.),7. Genre,8. Age,9. Level,10. Instruments,11. Other Tags,12. Cost,13. About Opportunity,14. When,15. Opportunity Website / Signup,16. Organisation Name,17. About Organisation,18. Organisation Website,19. Only for London/Local?,20. Extra Notes
West Berkshire - Out of the Attic Orchestra,South East,Berkshire,West Berkshire Music Centre - UK,Ensemble,Orchestra,Orchestral,18+,Grade 5+,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Harp, Violin, Viola, Cello, Double Bass, Euphonium, Percussion","Grade 5, Grade 6, Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"Out of the Attic is a friendly, inclusive orchestra for adults. Our name was given by our founding members, many of whom were returning to playing music after a long break and were getting their instruments back 'Out of the Attic'. This ensemble is suited to any string, brass, woodwind or percussion players of roughly grade 5 standard or above. We are always pleased to welcome new members so please do get in touch if you would like to join.",Saturdays 10:15 - 12:15,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
West Berkshire Senior String Orchestra,South East,Berkshire,West Berkshire Music Centre - UK,Ensemble,String Ensemble,Orchestral,12 - 18,Grade 6+,"Violin, Viola, Cello, Double Bass","Grade 6, Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"During this activity pupils of Grade 6 to 8 meet weekly to work on well-established string repertoire, such as pieces for string orchestra, as well as solo concerts. This ensemble regularly takes part in “Music for Youth Festival” performing in famous venues around the country. Most of the pupils that attend this ensemble are also members of the Berkshire Youth Symphony Orchestra. This String ensemble includes a social break where all senior ensembles at Music Centre can meet.",Saturdays 10:15 - 12:15,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
West Berkshire Intermediate String Orchestra,South East,Berkshire,west Berkshire Music Centre - UK,Ensemble,String Ensemble,Orchestral,18<,Grade 3-5,"Violin, Viola, Cello, Double Bass","Grade 3, Grade 4, Grade 5",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"This is a great opportunity for those more established young string players that are currently working at Grade 3 to 5 standard. During this rehearsal pupils will have a first experience of pieces that they will probably recognise from the standard orchestral repertoire. Sight-reading skills will be practised regularly and new bowing techniques will be introduced, such as those off the string articulations.",Saturdays 10:15 - 11:45,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Let's Play - Strings (West Berkshire),South East,Berkshire,West Berkshire Music Centre - UK,Ensemble,String Ensemble,Orchestral,All Ages,5 Notes to Grade 1,"Violin, Viola, Cello, Double Bass","Preparatory, Grade 1",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"This ensemble is a weekly opportunity for all beginner string players to join in and have a first experience of playing in an ensemble. Repertoire is based mostly around the four open strings and the occasional use of finger one. Pupils will also learn what playing with other musicians is like, preparing for informal performances around the year and learning the basics of their instrumental playing. Do come and join us!",Saturdays 9:15 - 10:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Initial Orchestra (Maidenhead),South East,Berkshire,"Space to Thrive, Maidenhead - UK",Ensemble,Orchestra,Orchestral,All Ages,Grade 1 - 3,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Harp, Violin, Viola, Cello, Double Bass, Euphonium, Percussion","Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"An exciting group for students who have just started to play a Strings, Woodwind or Brass instrument.",Saturdays 9:00 - 10:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Senior Brass Band,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,Brass Ensemble,Orchestral,All Ages,Grade 6+,"Trumpet, Trombone, Tuba, Horns, Euphonium","Grade 6, Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,A fun group for all brass instrument students at a higher level and continue to advance on your learning.,Saturdays 9:00 - 11:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Junior Recorder Ensemble,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,Woodwind Ensemble,Orchestral,All Ages,Beginner - Grade 3,Recorder,"Preparatory, Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"A fun and friendly group for all recorder players from beginner to grade 3 standard. Come along to meet other recorder players, and to enjoy learning new pieces and making music together.",Saturdays 9:00 - 9:45,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Initial Brass Band,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,Brass Ensemble,Orchestral,All Ages,Grade 1 - 3,"Trumpet, Trombone, Tuba, Horns, Euphonium","Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,An exciting group for students who have just started to play a brass instrument and learn more about music.,Saturdays 11:00 - 12:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Senior Percussion Ensemble,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,Percussion Ensemble,Orchestral,All Ages,Grade 6+,Percussion,"Grade 6, Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,A fun group for all senior percussion students to play together at a higher level and advance on your learning.,Saturdays 11:40 - 12:25,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Junior Percussion Ensemble,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,Percussion Ensemble,Orchestral,All Ages,Grade 1 -3 ,Percussion,"Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,An exciting group for all junior percussion students to play together and develop your learning.,Saturdays 9:15 - 10:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Let's Play - Strings (Reading),South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,String Ensemble,Orchestral,All Ages,5 Notes - Grade 1,"Violin, Viola, Cello, Double Bass","Preparatory, Grade 1",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"This ensemble is a weekly opportunity for all beginner string players to join in and have a first experience of playing in an ensemble. Repertoire is based mostly around the four open strings and the occasional use of finger one. Pupils will also learn what playing with other musicians is like, preparing for informal performances around the year and learning the basics of their instrumental playing. Do come and join us!",Saturdays 8:40 - 9:25,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Senior String Orchestra,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,String Ensemble,Orchestral,All Ages,Grade 6+,"Violin, Viola, Cello, Double Bass","Grade 6, Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"During this activity pupils of Grade 6 to 8 meet weekly to work on well-established string repertoire, such as pieces for string orchestra, as well as solo concerts. This ensemble regularly takes part in “Music for Youth Festival” performing in famous venues around the country. Most of the pupils that attend this ensemble are also members of the Berkshire Youth Symphony Orchestra. This String ensemble includes a social break where all senior ensembles at Music Centre can meet.",Friday 19:00 - 21:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Senior Wind Band,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,Wind Band,Orchestral,All Ages,Grade 6+,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Euphonium, Percussion","Grade 6, Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"A fun group for Wind, Brass or Percussion students at a higher level and continue to advance on your learning.",Friday 19:00 - 21:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Intermediate Wind Band,South East,Berkshire,"reading Music Centre, Reading - UK",Ensemble,Wind Band,Orchestral,All Ages,Grade 3 - 5,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Euphonium, Percussion","Grade 3, Grade 4, Grade 5",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"A fun group for students who play a Wind, Brass or Percussion instrument and are keen to develop and progress on their learning of music.",Fridays 19:00 - 20:30,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Intermediate String Orchestra,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,String Ensemble,Orchestral,All Ages,Grade 3 - 5,"Violin, Viola, Cello, Double Bass","Grade 3, Grade 4, Grade 5",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"This is a great opportunity for those more established young string players that are currently working at Grade 3 to 5 standard. During this rehearsal pupils will have a first experience of pieces that they will probably recognise from the standard orchestral repertoire. Sight-reading skills will be practised regularly and new bowing techniques will be introduced, such as those off the string articulations.",Fridays 19:00 - 20:30,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Saxophone Ensemble,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,Woodwind Ensemble,Orchestral,All Ages,Grade 8+,Saxophone,Grade 8,https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"Berkshire Youth Saxophone Ensemble exists to join together the county's most talented young saxophonists in order to inspire and challenge them, and to develop their ability to perform chamber music to a high level. The group aims to explore a wide range of repertoire with influence from both western classical music and the world of jazz and there are often opportunities to explore improvisation. Pupils are also given the chance to play on the auxiliary instruments such as the soprano or baritone saxophone. Alongside tuition from our saxophone specialist teachers we have previously also worked with top level professional players including Rob Buckland and Gerard McChrystal.",Fridays 18:00 - 18:45,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Flute Ensemble,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,Woodwind Ensemble,Orchestral,All Ages,Grade 8+,Piccolo/Flute,Grade 8,https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"This ensemble is a fantastic opportunity to play Flute choir music and have a go on the other instruments in the flute family, the Piccolo, Alto and Bass Flute. We play many styles of music from Classical to Jazz and everything in between and our rehearsals are a friendly and fun environment to improve your sight reading, intonation, and ensemble skills.",Fridays 18:00 - 18:45,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Double reed Ensemble,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,Woodwind Ensemble,Orchestral,All Ages,Grade 3 -8,"Bassoon, Oboe","Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"This ensemble is open to bassoon and oboe players who are grade 3 - 8. We play music of all styles, from classical to Queen and everything in between, and there are a range of parts available to suit all standards.",Fridays 18:00 - 18:45,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Initial String Orchestra,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,String Ensemble,Orchestral,Young String Players,Grade 1 -3 ,"Violin, Viola, Cello, Double Bass","Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,his ensemble is for young string players that have achieved Grade 1 to 3 standard meet to play together and consolidate their instrumental learning while having fun making music with other children of their same standard. Rehearsal time will focus on the development of basic musical skills such as rhythm and counting as well as the correct use of basic bowing techniques.,Fridays 17:45 - 18:45,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Cello Ensemble,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,String Ensemble,Orchestral,All Ages,All Abilities,Cello,"Preparatory, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6, Grade 7",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"This ensemble is a great opportunity for cellists of different ages and standards to rehearse together once a week, exploring a wide range of repertoire. Due to the nature of the instrument and the extended register pupils can develop the technique needed to play on the whole extension of the fingerboard.",Fridays 18:00 - 18:45,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
